Date,ASIANPAINT,HDFCBANK,ITC,RELIANCE,TCS
2019-07-30,1476.5477294921875,1105.9237060546875,228.52923583984375,1151.8326416015625,2004.9005126953125
2019-07-31,1488.634033203125,1105.62890625,229.63409423828125,1137.543212890625,2029.327880859375
2019-08-01,1472.583984375,1093.3997802734375,227.38189697265625,1151.1986083984375,2005.7288818359375
2019-08-02,1512.2196044921875,1089.7333984375,224.78982543945312,1161.5948486328125,2028.959716796875
2019-08-05,1492.8424072265625,1072.4599609375,220.7954559326172,1121.382568359375,2068.797119140625
2019-08-06,1532.4287109375,1077.307373046875,220.0305633544922,1106.621826171875,2037.792236328125
2019-08-07,1525.9208984375,1074.7974853515625,215.56875610351562,1088.0849609375,2036.45751953125
2019-08-08,1532.4779052734375,1098.9852294921875,219.05322265625,1130.209716796875,2077.53759765625
2019-08-09,1541.873046875,1123.0255126953125,216.03619384765625,1139.7723388671875,2066.634765625
2019-08-13,1539.768798828125,1092.6861572265625,209.32223510742188,1250.258056640625,2023.5777587890625
2019-08-14,1536.1966552734375,1097.16455078125,211.40440368652344,1263.4986572265625,2028.1314697265625
2019-08-16,1563.3543701171875,1096.3033447265625,215.016357421875,1253.445556640625,1991.9742431640625
2019-08-19,1552.5892333984375,1086.0426025390625,213.78407287597656,1267.7652587890625,1990.0423583984375
2019-08-20,1561.1036376953125,1092.809326171875,209.49220275878906,1251.43505859375,2011.8929443359375
2019-08-21,1555.231689453125,1095.392822265625,205.2003631591797,1246.531005859375,2011.38671875
2019-08-22,1536.6859130859375,1069.925537109375,204.0105743408203,1222.7958984375,2038.8043212890625
2019-08-23,1546.66845703125,1064.3153076171875,200.65359497070312,1251.3369140625,2067.96923828125
2019-08-26,1563.4522705078125,1110.3040771484375,206.09274291992188,1242.460693359375,2094.2822265625
2019-08-27,1565.3116455078125,1112.1741943359375,208.642333984375,1250.3560791015625,2057.66455078125
2019-08-28,1568.932861328125,1106.04736328125,209.0247802734375,1239.0279541015625,2060.194580078125
2019-08-29,1580.7744140625,1095.9342041015625,204.9879150390625,1217.89208984375,2054.85791015625
2019-08-30,1581.7042236328125,1096.42626953125,208.76980590820312,1224.5615234375,2078.918212890625
2019-09-03,1543.096435546875,1088.0601806640625,205.28538513183594,1183.2213134765625,2071.557373046875
2019-09-04,1502.384033203125,1106.17041015625,206.7301483154297,1178.072021484375,2065.853271484375
2019-09-05,1487.312744140625,1099.9696044921875,207.58001708984375,1175.5711669921875,2038.16015625
2019-09-06,1499.69287109375,1105.2598876953125,207.2825469970703,1199.0118408203125,2021.7833251953125
2019-09-09,1507.7177734375,1107.080810546875,208.642333984375,1198.717529296875,2008.304931640625
2019-09-11,1528.122802734375,1107.9173583984375,207.1550750732422,1210.6832275390625,1981.7618408203125
2019-09-12,1507.42431640625,1117.5384521484375,204.60548400878906,1187.0953369140625,1962.9930419921875
2019-09-13,1515.1556396484375,1110.94384765625,203.88308715820312,1202.0523681640625,1970.675048828125
2019-09-16,1488.829833984375,1104.398681640625,203.45814514160156,1187.4876708984375,1978.0816650390625
2019-09-17,1498.2249755859375,1088.257080078125,201.58843994140625,1174.443115234375,1952.9183349609375
2019-09-18,1514.715087890625,1076.6429443359375,203.33067321777344,1182.5347900390625,1967.5472412109375
2019-09-19,1520.7340087890625,1083.7049560546875,201.16351318359375,1156.396728515625,1933.8736572265625
